school_name,unitid,program,median_starting_salary,source,year
Rice University,227757,Electrical & Computer Engineering (MS),125000,PayScale 2024,2024
Case Western Reserve University,201885,Electrical & Computer Engineering (MS),115000,PayScale 2024,2024
University of Minnesota-Twin Cities,174066,Electrical & Computer Engineering (MS),118000,PayScale 2024,2024
University of Colorado Boulder,126614,Electrical & Computer Engineering (MS),115000,PayScale 2024,2024
University of Arizona,104179,Electrical & Computer Engineering (MS),110000,PayScale 2024,2024
Arizona State University,104151,Electrical & Computer Engineering (MS),110000,PayScale 2024,2024
Harvard University,166027,Finance (MS),152000,US News 2024,2024
Northwestern University,147767,Finance (MS),140000,US News 2024,2024
University of California-Berkeley,110635,Finance (MS),142000,US News 2024,2024
Duke University,198419,Finance (MS),132000,US News 2024,2024
University of California-Los Angeles,110662,Finance (MS),128000,US News 2024,2024
University of North Carolina at Chapel Hill,199120,Finance (MS),115000,US News 2024,2024
University of Virginia,234076,Finance (MS),128000,US News 2024,2024
Rice University,227757,Finance (MS),120000,US News 2024,2024
University of Florida,134130,Finance (MS),108000,US News 2024,2024
Michigan State University,171100,Finance (MS),108000,US News 2024,2024
Rutgers University-New Brunswick,186380,Finance (MS),108000,US News 2024,2024
Case Western Reserve University,201885,Finance (MS),105000,US News 2024,2024
University of Pittsburgh,207547,Finance (MS),105000,US News 2024,2024
Temple University,216339,Finance (MS),105000,US News 2024,2024
Drexel University,130226,Finance (MS),105000,US News 2024,2024
American University,131159,Finance (MS),105000,US News 2024,2024
Harvard University,166027,MBA,175000,GMAC 2024,2024
Texas A&M University,228723,MBA,120000,GMAC 2024,2024
Arizona State University,104151,MBA,110000,GMAC 2024,2024
University of Florida,134130,MBA,115000,GMAC 2024,2024
Penn State University,214777,MBA,118000,GMAC 2024,2024
Michigan State University,171100,MBA,118000,GMAC 2024,2024
University of Wisconsin-Madison,240444,MBA,118000,GMAC 2024,2024
University of Maryland-College Park,163286,MBA,122000,GMAC 2024,2024
Boston University,164924,MBA,118000,GMAC 2024,2024
Northeastern University,167358,MBA,115000,GMAC 2024,2024
University of Pittsburgh,207547,MBA,112000,GMAC 2024,2024
Rutgers University-New Brunswick,186380,MBA,112000,GMAC 2024,2024
University of Georgia,139940,MBA,108000,GMAC 2024,2024
University of Colorado Boulder,126614,MBA,112000,GMAC 2024,2024
North Carolina State University,199193,MBA,110000,GMAC 2024,2024
University of Arizona,104179,MBA,108000,GMAC 2024,2024
Case Western Reserve University,201885,MBA,118000,GMAC 2024,2024
Johns Hopkins University,162928,MBA,135000,GMAC 2024,2024
Harvard University,166027,Law (JD),215000,NALP 2023,2023
University of California-Davis,110644,Law (JD),155000,NALP 2023,2023
William & Mary,232566,Law (JD),150000,NALP 2023,2023
Ohio State University,204796,Law (JD),155000,NALP 2023,2023
University of Wisconsin-Madison,240444,Law (JD),148000,NALP 2023,2023
Indiana University-Bloomington,151351,Law (JD),148000,NALP 2023,2023
Tulane University,229115,Law (JD),148000,NALP 2023,2023
Fordham University,190567,Law (JD),155000,NALP 2023,2023
University of Florida,134130,Law (JD),145000,NALP 2023,2023
University of Maryland-College Park,163286,Law (JD),148000,NALP 2023,2023
Boston College,164465,Law (JD),155000,NALP 2023,2023
Wake Forest University,200800,Law (JD),140000,NALP 2023,2023
Temple University,216339,Law (JD),138000,NALP 2023,2023
Brigham Young University,230038,Law (JD),135000,NALP 2023,2023
University of Arizona,104179,Law (JD),132000,NALP 2023,2023
University of Colorado Boulder,126614,Law (JD),135000,NALP 2023,2023
University of Iowa,153658,Law (JD),132000,NALP 2023,2023
University of Georgia,139940,Law (JD),135000,NALP 2023,2023
Loyola University Chicago,147776,Law (JD),132000,NALP 2023,2023
Drexel University,130226,Law (JD),128000,NALP 2023,2023
Carnegie Mellon University,211440,Business Analytics (MS),138000,PayScale 2024,2024
Washington University in St Louis,179867,Business Analytics (MS),120000,PayScale 2024,2024
Georgetown University,131469,Business Analytics (MS),118000,PayScale 2024,2024
Yale University,130794,Business Analytics (MS),125000,PayScale 2024,2024
Johns Hopkins University,162928,Business Analytics (MS),122000,PayScale 2024,2024
Cornell University,190415,Business Analytics (MS),125000,PayScale 2024,2024
Rice University,227757,Business Analytics (MS),118000,PayScale 2024,2024
Vanderbilt University,221999,Business Analytics (MS),118000,PayScale 2024,2024
University of North Carolina at Chapel Hill,199120,Business Analytics (MS),115000,PayScale 2024,2024
University of Washington,236948,Business Analytics (MS),120000,PayScale 2024,2024
Rutgers University-New Brunswick,186380,Business Analytics (MS),108000,PayScale 2024,2024
Michigan State University,171100,Business Analytics (MS),108000,PayScale 2024,2024
University of Pittsburgh,207547,Business Analytics (MS),105000,PayScale 2024,2024
Ohio State University,204796,Business Analytics (MS),108000,PayScale 2024,2024
Texas A&M University,228723,Business Analytics (MS),108000,PayScale 2024,2024
University of Tennessee-Knoxville,221759,Business Analytics (MS),105000,PayScale 2024,2024
University of Georgia,139940,Business Analytics (MS),105000,PayScale 2024,2024
University of Florida,134130,Business Analytics (MS),108000,PayScale 2024,2024
North Carolina State University,199193,Business Analytics (MS),108000,PayScale 2024,2024
University of Virginia,234076,Business Analytics (MS),118000,PayScale 2024,2024
