FOD1P,field_name,cip_2digit,median_annual_earnings,p25_earnings,p75_earnings,sample_size,source,year
3606,Zoology,26,58000,42000,78000,small,ACS+CEW,2023
3607,Ecology,26,62000,44000,85000,small,ACS+CEW,2023
3608,Marine Biology,26,58000,40000,80000,small,ACS+CEW,2023
3609,Genetics,26,75000,52000,105000,small,ACS+CEW,2023
3611,Bioinformatics,26,95000,70000,128000,small,ACS+CEW,2023
3700,Mathematics,27,88000,65000,120000,medium,ACS+CEW,2023
3701,Applied Mathematics,27,95000,70000,128000,medium,ACS+CEW,2023
3702,Statistics,27,100000,75000,135000,medium,ACS+CEW,2023
4005,Chemistry,40,72000,52000,98000,medium,ACS+CEW,2023
4006,Physics,40,95000,70000,130000,medium,ACS+CEW,2023
4007,Geology,40,80000,60000,110000,small,ACS+CEW,2023
4008,Earth Science,40,78000,58000,105000,small,ACS+CEW,2023
4002,Astronomy,40,88000,65000,120000,small,ACS+CEW,2023
5000,Psychology,42,60000,42000,82000,large,ACS+CEW,2023
5001,Clinical Psychology,42,65000,45000,88000,medium,ACS+CEW,2023
5002,Cognitive Science,42,72000,52000,98000,small,ACS+CEW,2023
5003,Counseling Psychology,42,55000,40000,72000,medium,ACS+CEW,2023
5004,Industrial/Organizational Psychology,42,85000,62000,115000,small,ACS+CEW,2023
5200,Economics,45,90000,65000,125000,medium,ACS+CEW,2023
5201,Anthropology,45,58000,40000,80000,small,ACS+CEW,2023
5202,Archaeology,45,55000,38000,75000,small,ACS+CEW,2023
5203,Criminology,45,62000,44000,82000,small,ACS+CEW,2023
5205,International Relations,45,72000,50000,100000,medium,ACS+CEW,2023
5206,Geography,45,68000,48000,90000,small,ACS+CEW,2023
5301,Political Science,45,72000,50000,100000,medium,ACS+CEW,2023
5400,Public Policy,44,70000,52000,92000,medium,ACS+CEW,2023
5401,Public Administration,44,70000,52000,92000,medium,ACS+CEW,2023
5500,General Social Sciences,45,62000,44000,85000,medium,ACS+CEW,2023
5501,Sociology,45,62000,44000,85000,medium,ACS+CEW,2023
5601,Social Work,44,52000,40000,65000,large,ACS+CEW,2023
6100,Nursing,51,82000,65000,100000,large,ACS+CEW,2023
6102,Public Health,51,68000,50000,90000,medium,ACS+CEW,2023
6103,Health Administration,51,78000,58000,100000,medium,ACS+CEW,2023
6104,Physical Therapy,51,82000,65000,100000,medium,ACS+CEW,2023
6105,Pharmacy,51,125000,110000,140000,medium,ACS+CEW,2023
6106,Medical Technology,51,65000,50000,82000,small,ACS+CEW,2023
6107,Speech Pathology,51,72000,58000,90000,medium,ACS+CEW,2023
6108,Rehabilitation Therapy,51,60000,46000,78000,small,ACS+CEW,2023
6109,Occupational Therapy,51,78000,62000,95000,medium,ACS+CEW,2023
6110,Nutrition,51,58000,44000,76000,small,ACS+CEW,2023
2300,General Education,13,52000,40000,65000,large,ACS+CEW,2023
2301,Elementary Education,13,48000,38000,60000,large,ACS+CEW,2023
2303,Secondary Education,13,55000,42000,68000,medium,ACS+CEW,2023
2304,Special Education,13,52000,40000,65000,medium,ACS+CEW,2023
2305,Mathematics Education,13,58000,44000,72000,small,ACS+CEW,2023
2306,Science Education,13,56000,42000,70000,small,ACS+CEW,2023
2307,Education Administration,13,72000,55000,92000,medium,ACS+CEW,2023
2308,School Counseling,13,58000,45000,72000,medium,ACS+CEW,2023
2309,Social Science Education,13,52000,40000,65000,small,ACS+CEW,2023
2311,Physical Education,13,50000,38000,64000,small,ACS+CEW,2023
2312,Art and Music Education,13,46000,36000,60000,small,ACS+CEW,2023
2314,Teacher Education,13,50000,38000,63000,medium,ACS+CEW,2023
6000,English,23,55000,38000,75000,medium,ACS+CEW,2023
6002,Composition and Rhetoric,23,52000,36000,72000,small,ACS+CEW,2023
5901,Journalism,09,60000,42000,82000,medium,ACS+CEW,2023
5902,Advertising,09,65000,45000,88000,small,ACS+CEW,2023
6005,Communication,09,62000,44000,85000,medium,ACS+CEW,2023
6003,History,54,58000,40000,78000,medium,ACS+CEW,2023
6004,Philosophy,38,60000,40000,85000,small,ACS+CEW,2023
6402,Music,50,45000,30000,65000,small,ACS+CEW,2023
6403,Fine Arts,50,50000,32000,72000,small,ACS+CEW,2023
6404,Film and Photography,50,55000,35000,80000,small,ACS+CEW,2023
2200,Architecture,04,75000,55000,100000,medium,ACS+CEW,2023
2201,Landscape Architecture,04,68000,50000,90000,small,ACS+CEW,2023
5502,Legal Studies,22,95000,65000,145000,medium,ACS+CEW,2023
5503,Pre-law,22,100000,60000,160000,large,ACS+CEW,2023
